benchmark                            old ns/op     new ns/op     delta
BenchmarkItrNodesViaIndex10000-8     2013494       1291206       -35.87%
BenchmarkCreateEdge-8                458530        226212        -50.67%
BenchmarkCreateEdge-8                337210        197912        -41.31%
BenchmarkCreateEdge-8                244694        191842        -21.60%
BenchmarkCreateEdge-8                261452        204362        -21.84%
BenchmarkCreateEdge-8                213355        221936        +4.02%
BenchmarkCreateEdge-8                209972        217720        +3.69%
BenchmarkCreateEdge-8                213980        215518        +0.72%
BenchmarkCreateEdge-8                248366        204768        -17.55%
BenchmarkCreateEdge-8                242308        220726        -8.91%
BenchmarkCreateEdge-8                198037        210344        +6.21%
BenchmarkItrAllEdge-8                5355          4783          -10.68%
BenchmarkItrAllEdge-8                6031          4689          -22.25%
BenchmarkItrAllEdge-8                5010          4708          -6.03%
BenchmarkItrAllEdge-8                5156          4650          -9.81%
BenchmarkItrAllEdge-8                4797          4660          -2.86%
BenchmarkItrAllEdge-8                5119          5125          +0.12%
BenchmarkItrAllEdge-8                4758          5820          +22.32%
BenchmarkItrAllEdge-8                4751          5828          +22.67%
BenchmarkItrAllEdge-8                4875          5581          +14.48%
BenchmarkItrAllEdge-8                4781          5389          +12.72%
BenchmarkItrNodeEdges-8              100273        135159        +34.79%
BenchmarkItrNodeEdges-8              99754         205627        +106.13%
BenchmarkItrNodeEdges-8              98743         194704        +97.18%
BenchmarkItrNodeEdges-8              100668        189208        +87.95%
BenchmarkItrNodeEdges-8              99174         193492        +95.10%
BenchmarkItrNodeEdges-8              101769        177536        +74.45%
BenchmarkItrNodeEdges-8              99183         151081        +52.33%
BenchmarkItrNodeEdges-8              100116        141381        +41.22%
BenchmarkItrNodeEdges-8              98882         99766         +0.89%
BenchmarkItrNodeEdges-8              98778         99847         +1.08%

benchmark                            old allocs     new allocs     delta
BenchmarkPropNonExistsGraph-8        0              0              +0.00%
BenchmarkPropNonExistsGraph-8        0              0              +0.00%
BenchmarkPropNonExistsGraph-8        0              0              +0.00%
BenchmarkPropNonExistsGraph-8        0              0              +0.00%
BenchmarkPropNonExistsGraph-8        0              0              +0.00%
BenchmarkPropNonExistsGraph-8        0              0              +0.00%
BenchmarkPropNonExistsGraph-8        0              0              +0.00%
BenchmarkPropNonExistsGraph-8        0              0              +0.00%
BenchmarkPropNonExistsGraph-8        0              0              +0.00%
BenchmarkPropNonExistsGraph-8        0              0              +0.00%
BenchmarkPropExistsGraph-8           0              0              +0.00%
BenchmarkPropExistsGraph-8           0              0              +0.00%
BenchmarkPropExistsGraph-8           0              0              +0.00%
BenchmarkPropExistsGraph-8           0              0              +0.00%
BenchmarkPropExistsGraph-8           0              0              +0.00%
BenchmarkPropExistsGraph-8           0              0              +0.00%
BenchmarkPropExistsGraph-8           0              0              +0.00%
BenchmarkPropExistsGraph-8           0              0              +0.00%
BenchmarkPropExistsGraph-8           0              0              +0.00%
BenchmarkPropExistsGraph-8           0              0              +0.00%
BenchmarkDeleteEdge-8                1001           1002           +0.10%
BenchmarkDeleteEdge-8                1001           1002           +0.10%
BenchmarkDeleteEdge-8                1001           1002           +0.10%
BenchmarkDeleteEdge-8                1001           1002           +0.10%
BenchmarkDeleteEdge-8                1001           1002           +0.10%
BenchmarkDeleteEdge-8                1001           1002           +0.10%
BenchmarkDeleteEdge-8                1001           1002           +0.10%
BenchmarkDeleteEdge-8                1001           1002           +0.10%
BenchmarkDeleteEdge-8                1001           1002           +0.10%
BenchmarkDeleteEdge-8                1001           1002           +0.10%
BenchmarkFindEdgeLabel-8             10             10             +0.00%
BenchmarkFindEdgeLabel-8             10             10             +0.00%
BenchmarkFindEdgeLabel-8             10             10             +0.00%
BenchmarkFindEdgeLabel-8             10             10             +0.00%
BenchmarkFindEdgeLabel-8             10             10             +0.00%
BenchmarkFindEdgeLabel-8             10             10             +0.00%
BenchmarkFindEdgeLabel-8             10             10             +0.00%
BenchmarkFindEdgeLabel-8             10             10             +0.00%
BenchmarkFindEdgeLabel-8             10             10             +0.00%
BenchmarkFindEdgeLabel-8             10             10             +0.00%
BenchmarkFindEdgeProp-8              10             10             +0.00%
BenchmarkFindEdgeProp-8              10             10             +0.00%
BenchmarkFindEdgeProp-8              10             10             +0.00%
BenchmarkFindEdgeProp-8              10             10             +0.00%
BenchmarkFindEdgeProp-8              10             10             +0.00%
BenchmarkFindEdgeProp-8              10             10             +0.00%
BenchmarkFindEdgeProp-8              10             10             +0.00%
BenchmarkFindEdgeProp-8              10             10             +0.00%
BenchmarkFindEdgeProp-8              10             10             +0.00%
BenchmarkFindEdgeProp-8              10             10             +0.00%
BenchmarkClone-8                     33             52             +57.58%
BenchmarkClone-8                     33             52             +57.58%
BenchmarkClone-8                     33             52             +57.58%
BenchmarkClone-8                     33             52             +57.58%
BenchmarkClone-8                     33             52             +57.58%
BenchmarkClone-8                     33             52             +57.58%
BenchmarkClone-8                     33             52             +57.58%
BenchmarkClone-8                     33             52             +57.58%
BenchmarkClone-8                     33             52             +57.58%
BenchmarkClone-8                     33             52             +57.58%
BenchmarkAddNode-8                   8              8              +0.00%
BenchmarkAddNode-8                   8              8              +0.00%
BenchmarkAddNode-8                   8              8              +0.00%
BenchmarkAddNode-8                   8              8              +0.00%
BenchmarkAddNode-8                   8              8              +0.00%
BenchmarkAddNode-8                   8              8              +0.00%
BenchmarkAddNode-8                   8              8              +0.00%
BenchmarkAddNode-8                   8              8              +0.00%
BenchmarkAddNode-8                   8              8              +0.00%
BenchmarkAddNode-8                   8              8              +0.00%
BenchmarkItrNodes1000-8              0              0              +0.00%
BenchmarkItrNodes1000-8              0              0              +0.00%
BenchmarkItrNodes1000-8              0              0              +0.00%
BenchmarkItrNodes1000-8              0              0              +0.00%
BenchmarkItrNodes1000-8              0              0              +0.00%
BenchmarkItrNodes1000-8              0              0              +0.00%
BenchmarkItrNodes1000-8              0              0              +0.00%
BenchmarkItrNodes1000-8              0              0              +0.00%
BenchmarkItrNodes1000-8              0              0              +0.00%
BenchmarkItrNodes1000-8              0              0              +0.00%
BenchmarkItrNodes10000-8             3              3              +0.00%
BenchmarkItrNodes10000-8             3              3              +0.00%
BenchmarkItrNodes10000-8             3              3              +0.00%
BenchmarkItrNodes10000-8             3              3              +0.00%
BenchmarkItrNodes10000-8             3              3              +0.00%
BenchmarkItrNodes10000-8             3              3              +0.00%
BenchmarkItrNodes10000-8             3              3              +0.00%
BenchmarkItrNodes10000-8             3              3              +0.00%
BenchmarkItrNodes10000-8             3              3              +0.00%
BenchmarkItrNodes10000-8             3              3              +0.00%
BenchmarkItrNodesViaIndex1000-8      24             23             -4.17%
BenchmarkItrNodesViaIndex1000-8      24             23             -4.17%
BenchmarkItrNodesViaIndex1000-8      24             23             -4.17%
BenchmarkItrNodesViaIndex1000-8      24             23             -4.17%
BenchmarkItrNodesViaIndex1000-8      23             23             +0.00%
BenchmarkItrNodesViaIndex1000-8      23             23             +0.00%
BenchmarkItrNodesViaIndex1000-8      23             23             +0.00%
BenchmarkItrNodesViaIndex1000-8      24             23             -4.17%
BenchmarkItrNodesViaIndex1000-8      24             23             -4.17%
BenchmarkItrNodesViaIndex1000-8      23             23             +0.00%
BenchmarkItrNodesViaIndex10000-8     154            105            -31.82%
BenchmarkItrNodesViaIndex10000-8     135            115            -14.81%
BenchmarkItrNodesViaIndex10000-8     153            117            -23.53%
BenchmarkItrNodesViaIndex10000-8     111            114            +2.70%
BenchmarkItrNodesViaIndex10000-8     152            115            -24.34%
BenchmarkItrNodesViaIndex10000-8     164            114            -30.49%
BenchmarkItrNodesViaIndex10000-8     146            105            -28.08%
BenchmarkItrNodesViaIndex10000-8     122            115            -5.74%
BenchmarkItrNodesViaIndex10000-8     132            116            -12.12%
BenchmarkItrNodesViaIndex10000-8     141            114            -19.15%
BenchmarkCreateEdge-8                1003           1002           -0.10%
BenchmarkCreateEdge-8                1002           1002           +0.00%
BenchmarkCreateEdge-8                1002           1002           +0.00%
BenchmarkCreateEdge-8                1002           1002           +0.00%
BenchmarkCreateEdge-8                1002           1002           +0.00%
BenchmarkCreateEdge-8                1002           1002           +0.00%
BenchmarkCreateEdge-8                1002           1002           +0.00%
BenchmarkCreateEdge-8                1002           1002           +0.00%
BenchmarkCreateEdge-8                1002           1002           +0.00%
BenchmarkCreateEdge-8                1002           1002           +0.00%
BenchmarkItrAllEdge-8                1              1              +0.00%
BenchmarkItrAllEdge-8                1              1              +0.00%
BenchmarkItrAllEdge-8                1              1              +0.00%
BenchmarkItrAllEdge-8                1              1              +0.00%
BenchmarkItrAllEdge-8                1              1              +0.00%
BenchmarkItrAllEdge-8                1              1              +0.00%
BenchmarkItrAllEdge-8                1              1              +0.00%
BenchmarkItrAllEdge-8                1              1              +0.00%
BenchmarkItrAllEdge-8                1              1              +0.00%
BenchmarkItrAllEdge-8                1              1              +0.00%
BenchmarkItrNodeEdges-8              1003           1004           +0.10%
BenchmarkItrNodeEdges-8              1003           1006           +0.30%
BenchmarkItrNodeEdges-8              1003           1005           +0.20%
BenchmarkItrNodeEdges-8              1003           1006           +0.30%
BenchmarkItrNodeEdges-8              1003           1007           +0.40%
BenchmarkItrNodeEdges-8              1003           1005           +0.20%
BenchmarkItrNodeEdges-8              1003           1005           +0.20%
BenchmarkItrNodeEdges-8              1003           1005           +0.20%
BenchmarkItrNodeEdges-8              1003           1003           +0.00%
BenchmarkItrNodeEdges-8              1003           1003           +0.00%

benchmark                            old bytes     new bytes     delta
BenchmarkPropNonExistsGraph-8        25            7             -72.00%
BenchmarkPropNonExistsGraph-8        25            7             -72.00%
BenchmarkPropNonExistsGraph-8        25            7             -72.00%
BenchmarkPropNonExistsGraph-8        25            7             -72.00%
BenchmarkPropNonExistsGraph-8        25            7             -72.00%
BenchmarkPropNonExistsGraph-8        25            7             -72.00%
BenchmarkPropNonExistsGraph-8        24            7             -70.83%
BenchmarkPropNonExistsGraph-8        25            7             -72.00%
BenchmarkPropNonExistsGraph-8        25            7             -72.00%
BenchmarkPropNonExistsGraph-8        26            7             -73.08%
BenchmarkPropExistsGraph-8           35            7             -80.00%
BenchmarkPropExistsGraph-8           36            7             -80.56%
BenchmarkPropExistsGraph-8           36            7             -80.56%
BenchmarkPropExistsGraph-8           35            8             -77.14%
BenchmarkPropExistsGraph-8           36            7             -80.56%
BenchmarkPropExistsGraph-8           35            7             -80.00%
BenchmarkPropExistsGraph-8           35            7             -80.00%
BenchmarkPropExistsGraph-8           35            7             -80.00%
BenchmarkPropExistsGraph-8           35            7             -80.00%
BenchmarkPropExistsGraph-8           35            7             -80.00%
BenchmarkDeleteEdge-8                16098         45012         +179.61%
BenchmarkDeleteEdge-8                16098         45009         +179.59%
BenchmarkDeleteEdge-8                16099         45009         +179.58%
BenchmarkDeleteEdge-8                16098         45009         +179.59%
BenchmarkDeleteEdge-8                16099         45008         +179.57%
BenchmarkDeleteEdge-8                16098         45008         +179.59%
BenchmarkDeleteEdge-8                16098         45009         +179.59%
BenchmarkDeleteEdge-8                16098         45008         +179.59%
